entity,source_or_target,entity_type,initial_matching,lexical_matching,graphical_matching
cmt:endReview,Source,Property,end review,"In the context of a research conference, ""endReview"" typically refers to the conclusion or completion of the peer review process for submitted research papers. It signifies the end of the evaluation and assessment phase where experts in the field review the quality, validity, and relevance of the submitted papers. Once the ""endReview"" stage is reached, the reviewers' feedback and recommendations are typically provided to the authors, and decisions regarding acceptance, revision, or rejection of the papers are made.","The verbalised sentence is ""The endReview property of the CMT ontology is an object property."" The verbalised sentence is ""The endReview property has a domain of ProgramCommitteeChair in the CMT ontology."" The verbalised sentence is ""The range of the property 'endReview' in the CMT ontology is 'Review'."" "
cmt:hasBid,Source,Property,has bid,"In the context of a research conference, ""hasBid"" typically refers to the action of submitting a bid or proposal to host or organize the conference in a particular location. It indicates that a certain organization or institution has expressed interest in hosting the conference and has submitted a formal bid outlining their proposed venue, facilities, and other relevant details. The conference organizers may evaluate these bids and select the most suitable location for the event based on various criteria such as accessibility, facilities, cost, and local support.","The verbalised sentence is ""The property 'hasBid' in the CMT ontology is an object property."" The verbalised sentence is ""The property 'hasBid' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""The property 'hasBid' has a domain of 'Paper' in the CMT ontology."" The verbalised sentence is ""The property 'hasBid' in the CMT ontology has a range of 'Bid' in the CMT ontology."" "
cmt:adjustBid,Source,Property,adjust bid,"In the context of a research conference, the term ""adjustBid"" does not have a specific meaning. It could be a term used in a hypothetical scenario or a specific context within the conference, but without further information, it is not possible to determine its exact meaning.","The verbalised sentence is ""The adjustBid property is an object property."" The verbalised sentence is ""The property 'adjustBid' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""The adjustBid property of the CMT ontology is the inverse of the adjustedBy property of the CMT ontology."" The verbalised sentence is ""The domain of the property 'adjustBid' in the CMT ontology is a 'Reviewer'."" The range of the property ""adjustBid"" in the CMT ontology is a ""Bid"" in the CMT ontology. "
cmt:adjustedBy,Source,Property,adjusted by,"In the context of a research conference, ""adjustedBy"" typically refers to a statistical adjustment made to the data or results presented in a research study. It indicates that certain variables or factors have been taken into account and controlled for in order to obtain more accurate or meaningful findings. The adjustment could involve various statistical techniques, such as regression analysis or propensity score matching, to account for confounding variables or biases that may affect the interpretation of the results.","The verbalised sentence is ""The property 'adjustedBy' in the CMT ontology is of type 'ObjectProperty' in the OWL ontology."" The verbalised sentence is ""The property 'adjustedBy' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'adjustedBy' has a domain of 'Bid' in the CMT ontology."" The verbalised sentence is ""The property 'adjustedBy' in the CMT ontology has a range of 'Reviewer' in the CMT ontology."" The verbalised sentence is ""The 'adjustedBy' property in the CMT ontology is the inverse of the 'adjustBid' property in the CMT ontology."" "
cmt:readPaper,Source,Property,read paper,"In the context of a research conference, ""readPaper"" typically refers to the act of reviewing and studying a research paper that has been submitted for presentation or publication at the conference. It involves carefully reading and analyzing the content, methodology, results, and conclusions of the paper to evaluate its quality, relevance, and contribution to the field of study. Researchers, conference organizers, and program committee members often read papers to select the most suitable ones for presentation or to provide feedback and suggestions for improvement to the authors.","The verbalised sentence is ""The 'readPaper' property from the CMT ontology is an object property."" The verbalised sentence is ""A paper is read by a reviewer."" The verbalised sentence is ""The range of the property 'readPaper' in the CMT ontology is 'Paper'."" The verbalised sentence is ""A reviewer can read a paper."" "
cmt:hardcopyMailingManifestsPrintedBy,Source,Property,hardcopy mailing manifests printed by,"In the context of a research conference, ""hardcopyMailingManifestsPrintedBy"" refers to the physical copies of mailing manifests that have been printed by someone or something. It suggests that there are documents containing information about the mailing lists, recipients, and other relevant details that have been printed out rather than being in electronic or digital format. These hardcopies are likely used for mailing purposes, such as sending invitations, announcements, or conference materials to participants or attendees.","The verbalised sentence is ""The property 'hardcopyMailingManifestsPrintedBy' in the CMT ontology is an object property."" The verbalised sentence is ""The hardcopy mailing manifests are printed by the inverse of printing hardcopy mailing manifests."" The verbalised sentence is ""The hardcopy mailing manifests are printed by a Conference."" The verbalised sentence is ""The property 'hardcopyMailingManifestsPrintedBy' has a range of 'Administrator' in the CMT ontology."" "
cmt:printHardcopyMailingManifests,Source,Property,print hardcopy mailing manifests,"In the context of a research conference, ""printHardcopyMailingManifests"" refers to the process of generating physical copies of mailing manifests. Mailing manifests are documents that list the recipients and details of materials being sent via mail, such as conference brochures, registration forms, or other relevant information. Printing hardcopy mailing manifests involves creating physical copies of these documents to be sent out to the intended recipients through traditional mail services.","The verbalised sentence is ""The property 'printHardcopyMailingManifests' in the CMT ontology is an object property."" The verbalised sentence is ""The range of the property 'printHardcopyMailingManifests' in the CMT ontology is 'Conference'."" The verbalised sentence is ""The printing of hardcopy mailing manifests is the inverse of hardcopy mailing manifests being printed."" The verbalised sentence is ""The domain of the property 'printHardcopyMailingManifests' in the CMT ontology is an 'Administrator' in the CMT ontology."" "
cmt:markConflictOfInterest,Source,Property,mark conflict of interest,"In the context of a research conference, the function markConflictOfInterest refers to the action of indicating or flagging a conflict of interest between a specific reviewer and a specific paper. This function is used to highlight the association between the reviewer and the paper, stating that there is a conflict that may affect the impartiality or fairness of the review process. By marking the conflict of interest, the reviewer will be prevented from bidding on the paper, being assigned to it, or accessing any review submissions related to that paper.","The verbalised sentence is ""The CMT ontology has an object property called 'markConflictOfInterest'."" The verbalised sentence is ""The range of the property 'markConflictOfInterest' in the CMT ontology is a 'Paper'."" "
cmt:enterConferenceDetails,Source,Property,enter conference details,"In the context of a research conference, ""enterConferenceDetails"" likely refers to the action or process of providing or inputting relevant information about the conference. This could include details such as the conference name, date, location, theme, keynote speakers, session topics, submission deadlines, registration fees, and any other pertinent information. It could be a step in the conference management system or software where organizers or participants enter and update the necessary details for the conference.","The verbalised sentence is ""The enterConferenceDetails property is an object property."" The verbalised sentence is ""The enterConferenceDetails property has a domain of Administrator in the CMT ontology."" The verbalised sentence is ""Entering conference details is the inverse of details being entered by CMT."" The verbalised sentence is ""The range of the property 'enterConferenceDetails' is 'Conference' in the CMT ontology."" "
cmt:detailsEnteredBy,Source,Property,details entered by,"In the context of a research conference, ""detailsEnteredBy"" refers to the person or entity responsible for inputting or providing specific information or data. It could be the name or identifier of the individual who entered the details into a conference management system or database. This information helps track and attribute the source of the entered details for organizational and administrative purposes.","The verbalised sentence is ""The details entered by CMT are an object property."" The verbalised sentence is ""The details entered by CMT are in the domain of a conference."" The verbalised sentence is ""The details entered by CMT are the inverse of entering conference details."" The verbalised sentence is ""The details entered by a CMT administrator."" "
cmt:hasBeenAssigned,Source,Property,has been assigned,"In the context of a research conference, ""hasBeenAssigned"" typically refers to the status of a paper or presentation that has been allocated to a specific session, track, or reviewer. It indicates that the paper or presentation has been assigned to a particular individual or group for evaluation, review, or presentation purposes. This term is commonly used in conference management systems or platforms to track the progress and allocation of research papers or presentations.","The verbalised sentence is ""The property 'hasBeenAssigned' in the CMT ontology is an object property."" The verbalised sentence is ""The inverse of 'hasBeenAssigned' in the CMT ontology is 'assignedTo'."" The verbalised sentence is ""The property 'hasBeenAssigned' in the CMT ontology has a range of 'Paper' in the CMT ontology."" The verbalised sentence is ""The property 'hasBeenAssigned' has a domain of 'Reviewer' in the CMT ontology."" "
cmt:assignedTo,Source,Property,assigned to,"In the context of a research conference, ""assignedTo"" typically refers to the act of assigning a specific task, responsibility, or role to an individual or a group of individuals. It could imply assigning someone to a particular session, presentation, panel, or committee within the conference. This term is often used to ensure that each participant or attendee has a designated role or responsibility during the event.","The verbalised sentence is ""The assignedTo property of the CMT ontology is an object property."" The verbalised sentence is ""The assignedTo property has a domain of Paper in the CMT ontology."" The verbalised sentence is ""The assignedTo property of the CMT ontology is the inverse of the hasBeenAssigned property."" The verbalised sentence is ""The assignedTo property of the CMT ontology has a range of Reviewer in the CMT ontology."" "
cmt:setMaxPapers,Source,Property,set max papers,"In the context of a research conference, ""setMaxPapers"" likely refers to a function or method that sets the maximum number of papers that can be submitted or accepted for presentation at the conference. It could be used to define a limit on the number of papers that can be included in the conference program, ensuring that the event remains manageable and focused.","The verbalised sentence is ""The setMaxPapers property of the CMT ontology is an object property."" The verbalised sentence is ""The setMaxPapers property has a domain of Administrator in the CMT ontology."" The verbalised sentence is ""The range of the property 'setMaxPapers' is 'ProgramCommitteeMember' in the CMT ontology."" "
cmt:hasSubjectArea,Source,Property,has subject area,"In the context of a research conference, ""hasSubjectArea"" refers to the specific field or topic that a research paper or presentation is focused on. It indicates the subject area or discipline to which the research work belongs. It helps in categorizing and organizing the conference program, allowing attendees to identify sessions or papers that align with their interests or expertise.","The verbalised sentence is ""The property 'hasSubjectArea' in the CMT ontology is an object property."" The verbalised sentence is ""The range of the property 'hasSubjectArea' in the CMT ontology is the subject area defined in the CMT ontology."" The verbalised sentence is ""The subject area of a paper is defined by the property 'hasSubjectArea' in the CMT ontology."" "
cmt:submitPaper,Source,Property,submit paper,"In the context of a research conference, ""submitPaper"" refers to the process of submitting a research paper or manuscript for consideration to be presented at the conference. It typically involves authors submitting their work electronically through an online submission system, following the conference's guidelines and deadlines. The submitted papers are then reviewed by a panel of experts or peer reviewers to determine their suitability for presentation at the conference.","The verbalised sentence is ""The submitPaper property in the CMT ontology is an object property."" The verbalised sentence is ""The domain of the property 'submitPaper' in the CMT ontology is an 'Author'."" The verbalised sentence is ""The range of the property 'submitPaper' in the CMT ontology is 'Paper'."" "
cmt:acceptPaper,Source,Property,accept paper,"In the context of a research conference, ""acceptPaper"" refers to the decision made by the conference organizers or program committee to include a particular research paper in the conference proceedings and program. When a paper is accepted, it means that the paper has met the criteria and standards set by the conference for quality, relevance, and contribution to the field of research. Accepted papers are typically presented at the conference through oral presentations, poster sessions, or other formats, allowing researchers to share their findings and engage in discussions with other participants.","The verbalised sentence is ""The property 'acceptPaper' in the CMT ontology is a functional property."" The verbalised sentence is ""The acceptPaper property in the CMT ontology is an object property."" The verbalised sentence is ""The property 'acceptPaper' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""An accepted paper is inversely accepted by CMT."" The verbalised sentence is ""The acceptPaper property of the CMT ontology has a domain of Administrator."" The verbalised sentence is ""The range of the property 'acceptPaper' in the CMT ontology is 'Paper'."" "
cmt:hasAuthor,Source,Property,has author,"In the context of a research conference, ""hasAuthor"" refers to the relationship between a research paper or presentation and its author(s). It indicates that a particular paper or presentation is authored by one or more individuals. This relationship is typically used to attribute the work to the responsible author(s) and establish their contribution to the research presented at the conference.","The verbalised sentence is ""The property 'hasAuthor' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'hasAuthor' in the CMT ontology is an object property."" The verbalised sentence is ""An author has written a paper."" The verbalised sentence is ""The range of the property 'hasAuthor' in the CMT ontology is 'Author'."" The verbalised sentence is ""The domain of the property 'hasAuthor' in the CMT ontology is 'Paper'."" "
cmt:addedBy,Source,Property,added by,"In the context of a research conference, ""addedBy"" typically refers to the person or entity who added or included a particular item, such as a presentation, paper, or session, to the conference program or schedule. It could be the name of the individual who submitted the item for consideration, the conference organizer who approved and added it, or any other relevant party involved in the conference management.","The verbalised sentence is ""The property 'addedBy' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'addedBy' in the CMT ontology is of type 'ObjectProperty' in the OWL ontology."" The verbalised sentence is ""The addedBy property has a domain of ProgramCommitteeMember in the CMT ontology."" The verbalised sentence is ""The 'addedBy' property in the CMT ontology is the inverse of the 'addProgramCommitteeMember' property."" The verbalised sentence is ""The 'addedBy' property in the CMT ontology has a range of 'Administrator' in the CMT ontology."" "
cmt:acceptedBy,Source,Property,accepted by,"In the context of a research conference, ""acceptedBy"" refers to the process or decision of accepting a research paper or presentation for inclusion in the conference program. It typically indicates that the paper or presentation has undergone a review process by experts in the field and has been deemed suitable for presentation at the conference. The ""acceptedBy"" attribute may refer to the specific individuals or committee responsible for reviewing and accepting the submission.","The verbalised sentence is ""The property 'acceptedBy' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'acceptedBy' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""The property 'acceptedBy' in the CMT ontology is of type 'ObjectProperty' in the OWL ontology."" The verbalised sentence is ""The property 'acceptedBy' in the CMT ontology has a range of 'Administrator' in the CMT ontology."" The verbalised sentence is ""The domain of the property 'acceptedBy' in the CMT ontology is 'Paper'."" The verbalised sentence is ""An accepted paper is inversely accepted by CMT."" "
cmt:rejectedBy,Source,Property,rejected by,"In the context of a research conference, ""rejectedBy"" refers to the individual or entity responsible for rejecting a research paper or proposal submitted for presentation at the conference. It typically refers to the person or committee who reviewed the submission and determined that it did not meet the criteria or standards set by the conference organizers. The ""rejectedBy"" field may contain the name, affiliation, or role of the person or committee responsible for the rejection decision.","The verbalised sentence is ""The property 'rejectedBy' in the CMT ontology is a functional property."" The verbalised sentence is ""The rejectedBy property is an object property."" The verbalised sentence is ""A paper is rejected by someone."" The verbalised sentence is ""The 'rejectedBy' property has a range of 'Administrator' in the CMT ontology."" The verbalised sentence is ""The inverse of 'rejectedBy' in the CMT ontology is 'rejectPaper'."" "
cmt:readByMeta-Reviewer,Source,Property,readbymeta reviewer,"In the context of a research conference, ""readByMeta-Reviewer"" refers to the status of a research paper or submission that has been reviewed by a meta-reviewer. A meta-reviewer is typically an experienced researcher or expert in the field who evaluates the reviews provided by individual reviewers for a particular paper. The meta-reviewer then provides an overall assessment or summary of the paper's quality, significance, and suitability for presentation or publication at the conference. ""readByMeta-Reviewer"" indicates that the paper has been read and evaluated by the meta-reviewer in addition to the initial reviews by individual reviewers.","The verbalised sentence is ""The property 'readByMeta-Reviewer' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'readByMeta-Reviewer' in the CMT ontology is an object property."" The verbalised sentence is ""The range of the property 'readByMeta-Reviewer' in the CMT ontology is 'Meta-Reviewer'."" The verbalised sentence is ""A paper is read by a meta-reviewer in the CMT ontology."" "
cmt:writtenBy,Source,Property,written by,"In the context of a research conference, ""writtenBy"" typically refers to the author or authors of a particular research paper or presentation. It indicates the individuals who have contributed to the creation of the written content, such as the main findings, methodology, analysis, and conclusions of the research. The ""writtenBy"" attribute is commonly used to provide proper attribution and acknowledgment to the authors of a research work during a conference.","The verbalised sentence is ""The property 'writtenBy' in the CMT ontology is a functional property."" The verbalised sentence is ""The property 'writtenBy' in the CMT ontology is an object property."" The verbalised sentence is ""A review is written by."" The verbalised sentence is ""The property 'writtenBy' in the CMT ontology has a range of 'Reviewer' in the CMT ontology."" The verbalised sentence is ""The inverse of 'writtenBy' in the CMT ontology is 'writeReview'."" "
cmt:writeReview,Source,Property,write review,"In the context of a research conference, ""writeReview"" typically refers to the process of providing a critical evaluation or assessment of a research paper or presentation. It involves reviewing the content, methodology, results, and overall quality of the research work. The purpose of writing a review is to provide constructive feedback, identify strengths and weaknesses, and help the authors improve their work. Reviews are often used by conference organizers to make decisions on paper acceptance, presentation selection, and to ensure the quality of the research being presented.","The verbalised sentence is ""The property 'writeReview' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""The writeReview property in the CMT ontology is an object property."" The verbalised sentence is ""The range of the property 'writeReview' in the CMT ontology is 'Review'."" The verbalised sentence is ""The domain of the property 'writeReview' in the CMT ontology is a 'Reviewer'."" The verbalised sentence is ""A writeReview is the inverse of writtenBy."" "
cmt:assignExternalReviewer,Source,Property,assign external reviewer,"In the context of a research conference, ""assignExternalReviewer"" refers to the process of selecting and assigning an external expert or reviewer to evaluate and provide feedback on a research paper or proposal. This task involves identifying suitable individuals who have expertise in the specific field of study, inviting them to review the submission, and allocating the paper to them for evaluation. The assigned external reviewer will then assess the quality, relevance, and validity of the research work and provide constructive comments and recommendations to the conference organizers or program committee. This helps ensure a rigorous and impartial evaluation process for the research submissions.","The verbalised sentence is ""The property 'assignExternalReviewer' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""The assignExternalReviewer is an object property."" The verbalised sentence is ""An external reviewer is assigned by a reviewer."" The verbalised sentence is ""The range of the property 'assignExternalReviewer' is 'ExternalReviewer'."" The verbalised sentence is ""The domain of the property 'assignExternalReviewer' in the CMT ontology is 'Reviewer'."" "
cmt:writePaper,Source,Property,write paper,"In the context of a research conference, ""writePaper"" refers to the process of preparing and submitting a written document that presents the research findings, methodology, and conclusions of a study. It typically involves writing a scientific paper or research article that adheres to the conference's guidelines and requirements. The ""writePaper"" task involves conducting thorough research, analyzing data, organizing the information, and presenting it in a clear and concise manner. The written paper is then submitted to the conference organizers for review and potential presentation at the conference.","The verbalised sentence is ""The property 'writePaper' in the CMT ontology is an inverse functional property."" The verbalised sentence is ""The writePaper property is an object property."" The verbalised sentence is ""The domain of the property 'writePaper' in the CMT ontology is an 'Author'."" The verbalised sentence is ""A paper is written by an author."" The verbalised sentence is ""The range of the property 'writePaper' in the CMT ontology is 'Paper'."" "
cmt:addProgramCommitteeMember,Source,Property,add program committee member,"In the context of a research conference, ""addProgramCommitteeMember"" refers to the action of including or appointing an individual as a member of the program committee for the conference. The program committee is responsible for reviewing and selecting research papers, organizing sessions, and ensuring the overall quality and relevance of the conference program. Adding a program committee member involves inviting an expert in the field to contribute their expertise and judgment in the evaluation and selection process.","The verbalised sentence is ""The property 'addProgramCommitteeMember' is an inverse functional property."" The verbalised sentence is ""The addProgramCommitteeMember is an object property."" The verbalised sentence is ""The domain of the property 'addProgramCommitteeMember' in the CMT ontology is an 'Administrator'."" The verbalised sentence is ""The range of the property 'addProgramCommitteeMember' is 'ProgramCommitteeMember' in the CMT ontology."" The verbalised sentence is ""The addition of a program committee member is the inverse of being added by CMT."" "
cmt:name,Source,Property,name,"In the context of a research conference, the term ""name"" typically refers to the name of the presenter or author of a research paper or presentation. It is used to identify and attribute the work to a specific individual. The name is usually mentioned along with the title of the presentation or paper in the conference program, schedule, or abstracts.","The verbalised sentence is ""The property 'cmt:name' is a datatype property."" The verbalised sentence is ""The property 'cmt:name' is a functional property."" The verbalised sentence is ""The range of the property cmt:name is a string."" "
cmt:date,Source,Property,date,"In the context of a research conference, the term ""date"" typically refers to the specific day or days on which the conference is scheduled to take place. It indicates the time frame during which the conference sessions, presentations, and other activities will occur.","The verbalised sentence is ""The property 'date' in the CMT ontology is a datatype property."" The verbalised sentence is ""The domain of the property cmt:date is cmt:Conference."" The range of the property ""cmt:date"" is ""xsd:date"" in the CMT ontology. "
cmt:reviewsPerPaper,Source,Property,reviews per paper,"In the context of a research conference, ""reviewsPerPaper"" refers to the average number of reviews received by each submitted paper. It indicates the level of evaluation and feedback provided by reviewers for each paper. This metric helps assess the thoroughness and quality of the review process at the conference.","The verbalised sentence is ""The reviews per paper is a datatype property."" The verbalised sentence is ""The property 'reviewsPerPaper' is a functional property."" The verbalised sentence is ""The property 'reviewsPerPaper' has a domain of 'Conference' in the CMT ontology."" The verbalised sentence is ""The property 'reviewsPerPaper' has a range of integer values."" "
cmt:paperID,Source,Property,paper id,"In the context of a research conference, paperID refers to a unique identifier assigned to each research paper submitted to the conference. It is a numerical or alphanumeric code that helps in identifying and tracking a specific paper throughout the conference review and publication process. The paperID is typically used for referencing and organizing papers, ensuring that each paper can be easily distinguished and managed by the conference organizers, reviewers, and attendees.","The verbalised sentence is ""The paper ID is a datatype property in the CMT ontology."" The verbalised sentence is ""The property 'paperID' in the CMT ontology is a functional property."" The verbalised sentence is ""The paperID property of the CMT ontology has a range of unsigned long data type."" The verbalised sentence is ""The paperID has a domain of Paper in the CMT ontology."" "
cmt:maxPapers,Source,Property,max papers,"In the context of a research conference, ""maxPapers"" likely refers to the maximum number of papers that can be submitted or accepted for presentation at the conference. It represents the upper limit or cap on the number of papers that the conference organizers are willing to accommodate.","The verbalised sentence is ""The property 'maxPapers' in the CMT ontology is a datatype property."" The verbalised sentence is ""The property 'maxPapers' in the CMT ontology is a functional property."" The verbalised sentence is ""The maximum number of papers is a property that has a domain of Program Committee Member in the CMT ontology."" The verbalised sentence is ""The maximum number of papers has a range of integer."" "
cmt:email,Source,Property,email,"In the context of a research conference, the meaning of email refers to electronic mail, which is a method of exchanging digital messages between individuals or groups using electronic devices and the internet. It is commonly used for communication purposes related to the conference, such as sending invitations, registration details, submission guidelines, acceptance/rejection notifications, and other important information.","The verbalised sentence is ""The email property of CMT is a datatype property."" The verbalised sentence is ""The email property belongs to the domain of Person in the CMT ontology."" The verbalised sentence is ""The range of the property cmt:email is a string datatype."" "
cmt:logoURL,Source,Property,logo url,"In the context of a research conference, logoURL refers to the Uniform Resource Locator (URL) or web address that points to the location of the conference's logo image file on the internet. It is typically used for displaying the conference logo on websites, promotional materials, or any other digital platforms associated with the event.","The verbalised sentence is ""The logo URL of CMT is a datatype property."" The verbalised sentence is ""The logo URL of CMT is a functional property."" The verbalised sentence is ""The logoURL property of the CMT ontology has a range of anyURI data type."" The logo URL belongs to the domain of a conference in the CMT ontology. "
cmt:acceptsHardcopySubmissions,Source,Property,accepts hardcopy submissions,"In the context of a research conference, ""acceptsHardcopySubmissions"" refers to the conference's policy regarding the submission of research papers or materials in physical or printed form. If a conference accepts hardcopy submissions, it means that authors are allowed to submit their work in a physical format, such as printed papers or documents, rather than solely submitting electronically or online.","The verbalised sentence is ""CMT accepts hardcopy submissions."" The verbalised sentence is ""The property 'acceptsHardcopySubmissions' of the CMT ontology is a functional property."" The CMT ontology accepts hardcopy submissions with a range of boolean values. The Conference Management Tool (CMT) ontology states that a conference accepts hardcopy submissions. "
cmt:title,Source,Property,title,"In the context of a research conference, the term ""title"" refers to the name or heading given to a research paper, presentation, or talk. It is a concise and descriptive phrase that summarizes the main focus or subject of the research being presented. The title is typically displayed prominently on conference materials, such as the conference program or schedule, and serves as a way for attendees to quickly understand the content and relevance of a particular presentation.","The verbalised sentence is ""The property 'title' in the CMT ontology is a datatype property."" The verbalised sentence is ""The property 'title' of the 'cmt' ontology is a functional property."" The verbalised sentence is ""The title property of a paper belongs to the CMT ontology."" The verbalised sentence is ""The range of the property cmt:title is a string."" "
cmt:siteURL,Source,Property,site url,"In the context of a research conference, siteURL refers to the Uniform Resource Locator (URL) or web address of the conference's official website. It is the specific location on the internet where participants can find information about the conference, including details about the venue, schedule, registration, submission guidelines, and other relevant information.","The verbalised sentence is ""The site URL of CMT is a functional property."" The verbalised sentence is ""The site URL of CMT is a datatype property."" The verbalised sentence is ""The range of the property cmt:siteURL is any URI."" The site URL belongs to the domain of a conference. "
conference:has_a_submitted_contribution,Target,Property,has a submitted contribution,"In the context of a research conference, ""has_a_submitted_contribution"" refers to whether or not a participant or attendee of the conference has submitted a contribution or research paper for presentation at the conference. It indicates whether someone has submitted their work to be considered for inclusion in the conference program.","The verbalised sentence is ""The property 'has a submitted contribution' is an object property."" The verbalised sentence is ""The property 'has_a_submitted_contribution' is a functional property."" The verbalised sentence is ""The property 'has_a_submitted_contribution' has a range of 'Submitted_contribution'."" The verbalised sentence is ""The inverse of 'has_a_submitted_contribution' is 'has_a_review_expertise'."" The verbalised sentence is ""The domain of the property 'has_a_submitted_contribution' in the 'ns1' namespace is 'Review_expertise'."" "
conference:belongs_to_reviewers,Target,Property,belongs to reviewers,"In the context of a research conference, ""belongs_to_reviewers"" typically refers to a relationship or association between a research paper or submission and the reviewers assigned to evaluate or review it. It indicates that a particular paper is assigned to a specific group of reviewers who are responsible for assessing its quality, relevance, and providing feedback or recommendations. This relationship helps ensure a fair and thorough evaluation process for the research papers presented at the conference.","The verbalised sentence is ""The property 'belongs_to_reviewers' is an object property."" The verbalised sentence is ""belongs_to_reviewers has a range of Reviewer."" The verbalised sentence is ""A reviewer belongs to a review reference or expertise."" "
conference:contributes,Target,Property,contributes,"In the context of a research conference, ""contributes"" refers to the act of providing valuable information, insights, or findings to the field of study. It implies that the research presented or discussed during the conference adds to the existing knowledge or understanding of a particular topic or problem. The term ""contributes"" suggests that the research has a significant impact on the field and helps advance the overall understanding or solutions in that area.","The verbalised sentence is ""The property 'contributes' is an object property."" The verbalised sentence is ""A contribution is the inverse of having authors."" The verbalised sentence is ""A person contributes."" The verbalised sentence is ""The contributes property has a range of Conference_document."" "
conference:was_a_committe_co-chair_of,Target,Property,was a committe co chair of,"In the context of a research conference, ""was_a_committee_co-chair_of"" refers to a person who served as one of the co-chairs of a committee responsible for organizing and overseeing the conference. The committee co-chairs typically play a leadership role in coordinating various aspects of the conference, such as selecting papers, organizing sessions, inviting speakers, and managing the overall program.","The verbalised sentence is ""The property 'was a committee co-chair of' is an object property."" The verbalised sentence is ""A person who was a committee co-chair is the inverse of a person who has a committee co-chair."" The verbalised sentence is ""The range of the property 'was_a_committe_co-chair_of' is 'Committee'."" The verbalised sentence is ""The domain of the property 'was_a_committe_co-chair_of' is 'Co-chair'."" The verbalised sentence is ""was a committee co-chair of"" is a sub-property of ""was a member of"". "
conference:was_a_member_of,Target,Property,was a member of,"In the context of a research conference, ""was_a_member_of"" typically refers to the affiliation or membership of a person with a particular organization, institution, or research group at a specific point in time. It indicates that the person was associated with that organization or group during a specific period, often relevant to the research being presented or discussed at the conference. This information helps establish the person's background, expertise, and potential collaborations within the research community.","The verbalised sentence is ""was_a_member_of is an object property."" The verbalised sentence is ""The domain of the property 'was_a_member_of' in the 'ns1' namespace is 'Committee_member'."" The verbalised sentence is ""A member was a member of a group."" The verbalised sentence is ""The range of the property 'was_a_member_of' is 'Committee'."" "
conference:has_authors,Target,Property,has authors,"In the context of a research conference, ""has_authors"" refers to a property or attribute of a research paper or presentation. It indicates that the paper or presentation has one or more authors associated with it. This attribute is commonly used in conference management systems or databases to store and retrieve information about the authors of a particular research work.","The verbalised sentence is ""The property 'has_authors' is an object property."" The verbalised sentence is ""The domain of the property 'has_authors' in the namespace 'ns1' is 'Conference_document'."" The verbalised sentence is ""The property 'has_authors' has a range of 'Person'."" The verbalised sentence is ""The property 'has_authors' is the inverse of the property 'contributes'."" "
conference:was_a_track-workshop_chair_of,Target,Property,was a track workshop chair of,"In the context of a research conference, ""was_a_track-workshop_chair_of"" refers to a role or position held by an individual who was responsible for overseeing and organizing a specific track or workshop within the conference. This person would have been in charge of coordinating the submission and review process, selecting papers or presentations, scheduling sessions, and ensuring the smooth running of the track or workshop during the conference.","The verbalised sentence is ""was a track-workshop chair of is an object property."" The verbalised sentence is ""The property 'was a track-workshop chair of' is an inverse functional property."" The verbalised sentence is ""A person who was a track/workshop chair is the inverse of a person who has a track/workshop/tutorial chair."" The verbalised sentence is ""The prefix ns1:was_a_track-workshop_chair_of has a range of ns1:Conference_part."" The verbalised sentence is ""The domain of the property 'was_a_track-workshop_chair_of' is 'Track-workshop_chair'."" "
conference:has_a_topic_or_a_submission_contribution,Target,Property,has a topic or a submission contribution,"In the context of a research conference, ""has_a_topic_or_a_submission_contribution"" refers to the requirement or criteria for individuals or organizations to have a topic or a submission that contributes to the conference. It means that participants should have a research topic or a submission (such as a paper, poster, or presentation) that adds value to the conference program and aligns with the conference theme or focus area. This criterion ensures that the conference attracts relevant and meaningful contributions from participants.","The verbalised sentence is ""The property 'has_a_topic_or_a_submission_contribution' is an object property."" The verbalised sentence is ""The property 'has_a_topic_or_a_submission_contribution' is a functional property."" The verbalised sentence is ""A topic or a submission contribution has an inverse relationship with being assigned a review reference."" The verbalised sentence is ""Review preference has a topic or a submission contribution."" "
